ID,NUM_VICTIMAS,FECHA,AAAA,MM,DD,HH,TIPO_CALLE,Calle,Cruce,Direccion,COMUNA,Pos_X,Pos_Y,VICTIMA,ACUSADO,Dia_Sem,Barrios,Rol,Sexo,Edad,Fecha_Fallec,Rango_Etario
2016-0035,1,2016-03-13,2016,3,13,6,AVENIDA,CORRIENTES AV.,CRUCE,CORRIENTES AV. y CALLAO AV.,Comuna 3,-58.39228965,-34.60443527,MOTO,PASAJEROS,Dom,Balvanera y San Cristóbal,CONDUCTOR,MASCULINO,34,2016-03-13, Entre 21- 40
2016-0036,1,2016-03-14,2016,3,14,0,CALLE,HERRERA,CRUCE,"HERRERA y VALLE, ARISTOBULO DEL",Comuna 4,-58.37813396,-34.63668504,MOTO,PASAJEROS,Lun,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",PASAJERO_ACOMPAÑANTE,MASCULINO,36,2016-03-14, Entre 21- 40
2016-0037,1,2016-03-19,2016,3,19,11,AVENIDA,LAFUENTE AV.,CRUCE,LAFUENTE AV. y QUIRNO,Comuna 7,-58.46275892,-34.64358293,MOTO,MOTO,Sáb,Flores y Parque Chacabuco,CONDUCTOR,MASCULINO,20,2016-03-19, Entre 21- 40
2016-0038,1,2016-03-21,2016,3,21,8,AUTOPISTA,"PAZ, GRAL. AV.",CRUCE,"PAZ, GRAL. AV. y ZUVIRIA",Comuna 8,-58.49683458,-34.67892743,PEATON,PASAJEROS,Lun,"Villa Soldati, Villa Riachuelo y Villa Lugano",PEATON,MASCULINO,29,2016-03-21, Entre 21- 40
2016-0039,1,2016-03-23,2016,3,23,1,AVENIDA,"MITRE, BARTOLOME",CRUCE,"MITRE, BARTOLOME y PUEYRREDON AV.",Comuna 3,-58.40603217,-34.6088396,MOTO,PASAJEROS,Mié,Balvanera y San Cristóbal,CONDUCTOR,MASCULINO,20,2016-03-23, Entre 21- 40
2016-0041,2,2016-03-29,2016,3,29,11,AVENIDA,DIRECTORIO AV.,CRUCE,DIRECTORIO AV. y RIVERA INDARTE AV.,Comuna 7,-58.4607655,-34.63350444,MOTO,CARGAS,Mar,Flores y Parque Chacabuco,CONDUCTOR,MASCULINO,54,2016-03-29,Entre 41-60
2016-0041,2,2016-03-29,2016,3,29,11,AVENIDA,DIRECTORIO AV.,CRUCE,DIRECTORIO AV. y RIVERA INDARTE AV.,Comuna 7,-58.4607655,-34.63350444,MOTO,CARGAS,Mar,Flores y Parque Chacabuco,PASAJERO_ACOMPAÑANTE,MASCULINO,0,2016-03-30,Menos de 20
2016-0043,1,2016-03-30,2016,3,30,18,AVENIDA,"DELLEPIANE, LUIS, TTE. GRAL.",CRUCE,"DELLEPIANE, LUIS, TTE. GRAL. y MURGUIONDO",Comuna 8,-58.47832463,-34.67494416,PEATON,CARGAS,Mié,"Villa Soldati, Villa Riachuelo y Villa Lugano",PEATON,FEMENINO,56,2016-03-30,Entre 41-60
2016-0044,1,2016-03-31,2016,3,31,19,AVENIDA,"MORENO, JOSE MARIA AV.",CRUCE,"MORENO, JOSE MARIA AV. y BALBASTRO",Comuna 7,-58.43213235,-34.63693953,MOTO,MULTIPLE,Jue,Flores y Parque Chacabuco,CONDUCTOR,MASCULINO,24,2016-03-31, Entre 21- 40
2016-0045,1,2016-04-11,2016,4,11,10,AUTOPISTA,"PAZ, GRAL. AV.",CRUCE,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",Comuna 13,-58.46743471,-34.53476874,MOTO,SD,Lun,"Núñez, Belgrano y Colegiales",CONDUCTOR,MASCULINO,0,,Menos de 20
2016-0047,1,2016-04-15,2016,4,15,5,CALLE,LIMA,NO es cruce,LIMA 1483,Comuna 1,-58.38247061,-34.62571878,PEATON,PASAJEROS,Vie,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",PEATON,MASCULINO,41,2016-04-15,Entre 41-60
2016-0048,1,2016-04-15,2016,4,15,17,AVENIDA,CORRIENTES AV.,CRUCE,CORRIENTES AV. y DORREGO AV.,Comuna 15,-58.44759966,-34.5917024,PEATON,PASAJEROS,Vie,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas",PEATON,FEMENINO,0,,Menos de 20
2016-0049,1,2016-04-17,2016,4,17,0,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO es cruce,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,Comuna 4,-58.37714647568196,-34.63657525428238,SD,SD,Dom,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",SD,SD,0,,Menos de 20
2016-0050,1,2016-04-19,2016,4,19,9,AVENIDA,"GORDILLO, TIMOTEO",CRUCE,"GORDILLO, TIMOTEO y FERNANDEZ DE LA CRUZ, F., GRAL. AV.",Comuna 8,-58.47305463,-34.68550712,PEATON,PASAJEROS,Mar,"Villa Soldati, Villa Riachuelo y Villa Lugano",PEATON,MASCULINO,78,2016-04-19,Entre 61-80
2016-0051,1,2016-04-20,2016,4,20,4,AVENIDA,"ALCORTA, AMANCIO AV.",CRUCE,"ALCORTA, AMANCIO AV. y BONAVENA, OSCAR NATALIO",Comuna 4,-58.40623949,-34.65076549,MOTO,CARGAS,Mié,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",CONDUCTOR,MASCULINO,36,2016-04-20, Entre 21- 40
2016-0052,1,2016-04-20,2016,4,20,20,AUTOPISTA,"LUGONES, LEOPOLDO AV.",NO es cruce,AUTOPISTA LUGONES PK 10000,Comuna 13,,,MOTO,SD,Mié,"Núñez, Belgrano y Colegiales",SD,SD,0,,Menos de 20
2016-0053,1,2016-04-22,2016,4,22,9,AVENIDA,TRIUNVIRATO AV.,CRUCE,TRIUNVIRATO AV. y OLAZABAL AV.,Comuna 12,-58.4842918,-34.57558053,PEATON,PASAJEROS,Vie,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón",PEATON,MASCULINO,38,2016-04-22, Entre 21- 40
2016-0054,1,2016-04-23,2016,4,23,21,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,CRUCE,"AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y PAZ, GRAL. AV.",Comuna 8,-58.48695354,-34.68795245,MOTO,MOTO,Sáb,"Villa Soldati, Villa Riachuelo y Villa Lugano",CONDUCTOR,MASCULINO,30,2016-04-25, Entre 21- 40
2016-0055,1,2016-04-25,2016,4,25,20,AVENIDA,"CASTILLA, RAMON, MARISCAL",CRUCE,"CASTILLA, RAMON, MARISCAL y FIGUEROA ALCORTA, PRES. AV.",Comuna 14,-58.40021959,-34.57964781,PEATON,CARGAS,Lun,Palermo,PEATON,MASCULINO,79,2016-04-28,Entre 61-80
2016-0056,1,2016-04-26,2016,4,26,4,AVENIDA,"CAMPOS, LUIS M. AV.",NO es cruce,"CAMPOS, LUIS M. AV. 30",Comuna 14,-58.42957885,-34.57660058,MOTO,OBJETO FIJO,Mar,Palermo,CONDUCTOR,MASCULINO,26,2016-04-26, Entre 21- 40
2016-0058,1,2016-05-04,2016,5,4,14,CALLE,LIMA,NO es cruce,LIMA 1471,Comuna 1,-58.38247542,-34.62556293,PEATON,MOTO,Mié,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",PEATON,FEMENINO,57,2016-05-08,Entre 41-60
2016-0059,1,2016-05-08,2016,5,8,16,CALLE,CIUDADELA,CRUCE,CIUDADELA y LIMA,Comuna 1,-58.38222219,-34.62728101,PEATON,PASAJEROS,Dom,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",PEATON,MASCULINO,37,2016-05-26, Entre 21- 40
2016-0064,1,2016-05-14,2016,5,14,18,AVENIDA,"JUSTO, JUAN B. AV.",CRUCE,"JUSTO, JUAN B. AV. y CARRASCO AV.",Comuna 10,-58.49485242,-34.62953445,PEATON,PASAJEROS,Sáb,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro",PEATON,MASCULINO,20,, Entre 21- 40
2016-0065,1,2016-05-20,2016,5,20,14,AVENIDA,GAONA AV.,CRUCE,GAONA AV. y ESPINOSA,Comuna 6,-58.45227946,-34.61068024,PEATON,AUTO,Vie,Caballito,PEATON,MASCULINO,20,2016-05-20, Entre 21- 40
2016-0067,1,2016-05-21,2016,5,21,17,AVENIDA,"DE LA TORRE, LISANDRO",CRUCE,"DE LA TORRE, LISANDRO y SARAZA",Comuna 8,-58.48455411,-34.6751276,MOTO,PASAJEROS,Sáb,"Villa Soldati, Villa Riachuelo y Villa Lugano",PASAJERO_ACOMPAÑANTE,FEMENINO,30,, Entre 21- 40
2016-0068,1,2016-05-22,2016,5,22,22,AVENIDA,"FIGUEROA ALCORTA, PRES. AV.",CRUCE,"FIGUEROA ALCORTA, PRES. AV. y PUEYRREDON AV.",Comuna 2,-58.39056593,-34.58418569,MOTO,PASAJEROS,Dom,Recoleta,CONDUCTOR,MASCULINO,58,,Entre 41-60
2016-0069,1,2016-05-23,2016,5,23,3,AVENIDA,ENTRE RIOS AV.,CRUCE,ENTRE RIOS AV. y FILIBERTO,Comuna 3,-58.39118948,-34.62704273,AUTO,CARGAS,Lun,Balvanera y San Cristóbal,CONDUCTOR,MASCULINO,30,2016-05-23, Entre 21- 40
2016-0073,1,2016-06-11,2016,6,11,15,CALLE,"MAGARIÑOS CERVANTES, A.",NO es cruce,"MAGARIÑOS CERVANTES, A. 3900",Comuna 10,-58.49021952,-34.62025108,MOTO,CARGAS,Sáb,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro",CONDUCTOR,MASCULINO,23,, Entre 21- 40
2016-0074,1,2016-06-12,2016,6,12,6,AUTOPISTA,"PAZ, GRAL. AV.",CRUCE,"PAZ, GRAL. AV. y SCAPINO, RODOLFO",Comuna 8,-58.49896559,-34.67732118,AUTO,AUTO,Dom,"Villa Soldati, Villa Riachuelo y Villa Lugano",CONDUCTOR,MASCULINO,60,,Entre 61-80
2016-0075,1,2016-06-12,2016,6,12,23,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,CRUCE,AUTOPISTA DELLEPIANE LUIS TTE. GRAL. y MIRALLA,Comuna 8,-58.47461076,-34.66874679,PEATON,AUTO,Dom,"Villa Soldati, Villa Riachuelo y Villa Lugano",PEATON,MASCULINO,42,2016-06-12,Entre 41-60
2016-0076,1,2016-06-13,2016,6,13,16,AVENIDA,SAN MARTIN AV.,CRUCE,SAN MARTIN AV. y CAMARONES,Comuna 15,-58.46210891,-34.60356211,PEATON,PASAJEROS,Lun,"Chacarita, Villa Crespo, La Paternal, Villa Ortúzar, Agronomía y Parque Chas",PEATON,FEMENINO,53,2016-06-13,Entre 41-60
2016-0077,1,2016-06-13,2016,6,13,21,AVENIDA,"PERON, JUAN DOMINGO, TTE. GENERAL",CRUCE,"PERON, JUAN DOMINGO, TTE. GENERAL y ALEM, LEANDRO N. AV.",Comuna 1,-58.3702777,-34.60536123,PEATON,PASAJEROS,Lun,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",PEATON,FEMENINO,0,,Menos de 20
2016-0078,1,2016-06-13,2016,6,13,23,AVENIDA,BELGRANO AV.,CRUCE,BELGRANO AV. y JUJUY AV.,Comuna 3,-58.40491455,-34.6146383,MOTO,MOTO,Lun,Balvanera y San Cristóbal,CONDUCTOR,MASCULINO,30,, Entre 21- 40
2016-0079,1,2016-06-16,2016,6,16,17,AVENIDA,DEL LIBERTADOR AV.,CRUCE,"DEL LIBERTADOR AV. y UDAONDO, GUILLERMO AV.",Comuna 13,-58.45504154,-34.54864492,AUTO,AUTO,Jue,"Núñez, Belgrano y Colegiales",CONDUCTOR,FEMENINO,51,,Entre 41-60
2016-0080,1,2016-06-18,2016,6,18,6,AUTOPISTA,"PAZ, GRAL. AV.",CRUCE,"PAZ, GRAL. AV. y RIVADAVIA AV.",Comuna 9,-58.52927982,-34.63931752,AUTO,SD,Sáb,"Liniers, Mataderos y Parque Avellaneda",CONDUCTOR,MASCULINO,60,,Entre 61-80
2016-0081,1,2016-06-22,2016,6,22,7,AVENIDA,"LARRALDE, CRISOLOGO AV.",CRUCE,"LARRALDE, CRISOLOGO AV. y MACHAIN",Comuna 12,-58.4872106,-34.55904606,MOTO,AUTO,Mié,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón",CONDUCTOR,MASCULINO,40,,Entre 41-60
2016-0082,1,2016-06-27,2016,6,27,18,AVENIDA,LA PLATA AV.,NO es cruce,LA PLATA AV. 2384,Comuna 4,-58.42273092,-34.64228803,PEATON,AUTO,Lun,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",PEATON,MASCULINO,87,2016-07-05,Más de 80
2016-0083,1,2016-06-28,2016,6,28,20,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",CRUCE,"ALBERDI, JUAN BAUTISTA AV. y PUAN",Comuna 6,-58.44788671,-34.62539009,PEATON,MOTO,Mar,Caballito,PEATON,FEMENINO,76,2016-06-29,Entre 61-80
2016-0084,1,2016-06-29,2016,6,29,22,CALLE,"PELLEGRINI, CARLOS",CRUCE,"PELLEGRINI, CARLOS y TUCUMAN",Comuna 1,-58.38110563,-34.60135531,PEATON,PASAJEROS,Mié,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",PEATON,MASCULINO,57,2016-07-08,Entre 41-60
2016-0085,1,2016-06-29,2016,6,29,22,AVENIDA,"RABANAL, FRANCISCO, INTENDENTE AV.",CRUCE,"RABANAL, FRANCISCO, INTENDENTE AV. y EREZCANO",Comuna 4,-58.42378834,-34.657341,MOTO,OTRO,Mié,"La Boca, Barracas, Parque Patricios, y Nueva Pompeya",SD,MASCULINO,0,,Menos de 20
2016-0086,1,2016-06-30,2016,6,30,16,AVENIDA,OLIVERA AV.,CRUCE,"OLIVERA AV. y FALCON, RAMON L.,CNEL.",Comuna 10,-58.48727942,-34.63652467,PEATON,PASAJEROS,Jue,"Villa Real, Monte Castro, Versalles, Floresta, Vélez Sarsfield y Villa Luro",PEATON,MASCULINO,75,2016-07-01,Entre 61-80
2016-0087,1,2016-07-02,2016,7,3,0,AUTOPISTA,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI,NO es cruce,AUTOPISTA 1 SUR PRESIDENTE ARTURO FRONDIZI y CASEROS AV.,Comuna 1,-58.37864583,-34.62907067,MOTO,OBJETO FIJO,Sáb,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",CONDUCTOR,MASCULINO,23,2016-07-03, Entre 21- 40
2016-0088,1,2016-07-11,2016,7,11,15,CALLE,CERETTI,CRUCE,CERETTI y NUÃ‘EZ,Comuna 12,-58.5015175,-34.56767549,PEATON,AUTO,Lun,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón",PEATON,FEMENINO,70,2016-07-14,Entre 61-80
2016-0089,1,2016-07-14,2016,7,14,6,AUTOPISTA,"LUGONES, LEOPOLDO AV.",CRUCE,"LUGONES, LEOPOLDO AV. y LA PAMPA",Comuna 13,-58.43233425,-34.55185825,PEATON,AUTO,Jue,"Núñez, Belgrano y Colegiales",PEATON,MASCULINO,35,2016-07-14, Entre 21- 40
2016-0090,1,2016-07-14,2016,7,14,22,AVENIDA,"SALGUERO, JERONIMO",CRUCE,"SALGUERO, JERONIMO y RIVADAVIA AV.",Comuna 5,-58.41971993,-34.6111224,PEATON,PASAJEROS,Jue,Almagro y Boedo,PEATON,MASCULINO,60,2016-07-15,Entre 61-80
2016-0092,1,2016-07-15,2016,7,15,11,AUTOPISTA,"PAZ, GRAL. AV.",CRUCE,"PAZ, GRAL. AV. y DEL LIBERTADOR AV.",Comuna 13,-58.46743471,-34.53476874,MOTO,CARGAS,Vie,"Núñez, Belgrano y Colegiales",CONDUCTOR,MASCULINO,24,2016-07-15, Entre 21- 40
2016-0093,1,2016-07-17,2016,7,17,3,AVENIDA,"ALBERDI, JUAN BAUTISTA AV.",CRUCE,"ALBERDI, JUAN BAUTISTA AV. y MITRE, EMILIO",Comuna 6,-58.44362126,-34.62301748,AUTO,AUTO,Dom,Caballito,CONDUCTOR,MASCULINO,35,2016-07-19, Entre 21- 40
2016-0095,1,2016-07-23,2016,7,23,6,AVENIDA,MERCEDES,CRUCE,MERCEDES y MOSCONI GENERAL AV.,Comuna 11,-58.51713095,-34.59546519,MOTO,AUTO,Sáb,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita",CONDUCTOR,MASCULINO,29,2016-07-23, Entre 21- 40
2016-0096,1,2016-07-25,2016,7,25,7,AUTOPISTA,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,NO es cruce,AUTOPISTA DELLEPIANE LUIS TTE. GRAL.,Comuna 8,-58.47433193007387,-34.66684950051973,MOTO,CARGAS,Lun,"Villa Soldati, Villa Riachuelo y Villa Lugano",CONDUCTOR,MASCULINO,0,,Menos de 20
2016-0097,1,2016-07-26,2016,7,26,18,CALLE,SOLIS,CRUCE,SOLIS y MEXICO,Comuna 1,-58.39038605,-34.6156281,PEATON,AUTO,Mar,"Retiro, San Nicolás, Puerto Madero, San Telmo, Montserrat y Constitución",PEATON,MASCULINO,80,2016-08-12,Más de 80
2016-0098,1,2016-07-27,2016,7,27,16,AVENIDA,SAN JUAN AV.,CRUCE,SAN JUAN AV. y ALBERTI,Comuna 3,-58.40042405,-34.62356174,MOTO,CARGAS,Mié,Balvanera y San Cristóbal,CONDUCTOR,FEMENINO,43,,Entre 41-60
2016-0099,1,2016-07-29,2016,7,29,16,AUTOPISTA,MOSCONI GENERAL AV.,CRUCE,"MOSCONI GENERAL AV. y PAZ, GRAL. AV.",Comuna 11,-58.52340614,-34.59798754,CARGAS,CARGAS,Vie,"Villa General Mitre, Villa Devoto, Villa del Parque y Villa Santa Rita",CONDUCTOR,MASCULINO,45,,Entre 41-60
2016-0100,1,2016-08-03,2016,8,3,23,AUTOPISTA,"PAZ, GRAL. AV.",CRUCE,"PAZ, GRAL. AV. y DONADO",Comuna 12,-58.49491054,-34.54795581,MOTO,OBJETO FIJO,Mié,"Coghlan, Saavedra, Villa Urquiza y Villa Pueyrredón",CONDUCTOR,MASCULINO,57,2016-08-03,Entre 41-60
2016-0101,1,2016-08-07,2016,8,7,19,AUTOPISTA,"PAZ, GRAL. AV.",CRUCE,"PAZ, GRAL. AV. y CHAVEZ, JORGE",Comuna 9,-58.52932872,-34.65014993,SD,SD,Dom,"Liniers, Mataderos y Parque Avellaneda",SD,MASCULINO,67,,Entre 61-80
2016-0102,1,2016-08-10,2016,8,10,23,AVENIDA,"PERON, EVA AV.",CRUCE,"PERON, EVA AV. y SUAREZ, JOSE LEON",Comuna 9,-58.50011639,-34.67316502,MOTO,CARGAS,Mié,"Liniers, Mataderos y Parque Avellaneda",CONDUCTOR,MASCULINO,29,, Entre 21- 40
